,Rank,Geographic Area,City,State,June2020,2020,2021,2022,long,lat
271,272,"Gresham city, Oregon",Gresham,Oregon,114255,114466,113154,111621,-122.4309766,45.4997475
272,273,"Allen city, Texas",Allen,Texas,104645,105537,107019,111551,-96.6705503,33.1031744
273,274,"Pueblo city, Colorado",Pueblo,Colorado,111874,111891,111991,111456,-104.609141,38.2544472
274,275,"Everett city, Washington",Everett,Washington,110602,110881,110958,111337,-122.2127011,47.9793437
275,276,"South Fulton city, Georgia",South Fulton,Georgia,108064,108218,109325,111158,-84.6712292,33.5902659
276,277,"Peoria city, Illinois",Peoria,Illinois,113176,112850,111870,111021,-89.5891008,40.6938609
277,278,"Nampa city, Idaho",Nampa,Idaho,100310,101303,106525,110951,-116.559631,43.5737361
278,279,"Tuscaloosa city, Alabama",Tuscaloosa,Alabama,99627,104214,109082,110602,-87.5675258,33.2095614
279,280,"Miami Gardens city, Florida",Miami Gardens,Florida,111644,111481,111648,110497,-80.2025475,25.9798139
280,281,"Santa Maria city, California",Santa Maria,California,109695,109742,109647,110125,-120.435857,34.9531295
281,282,"Downey city, California",Downey,California,114358,113973,111570,109934,-118.1292846,33.9404441
282,283,"Concord city, North Carolina",Concord,North Carolina,105318,105967,108029,109896,-80.5800049,35.4094178
283,284,"San Buenaventura (Ventura) city, California",San Buenaventura (Ventura),California,110736,110518,110027,109527,-119.31101594866902,34.3640573
284,285,"Costa Mesa city, California",Costa Mesa,California,111926,111797,110885,109521,-117.903317,33.6633386
285,286,"Sugar Land city, Texas",Sugar Land,Texas,111032,110822,109584,109414,-95.6349463,29.6196787
286,287,"Menifee city, California",Menifee,California,102526,103158,106365,109399,-117.1770437,33.6864432
287,288,"Tyler city, Texas",Tyler,Texas,105984,106276,107353,109286,-95.3010624,32.3512601
288,289,"Sparks city, Nevada",Sparks,Nevada,108457,108876,109681,109226,-119.7487235,39.5404679
289,290,"Greeley city, Colorado",Greeley,Colorado,108791,109264,108631,109209,-104.7091322,40.4233142
290,291,"Rio Rancho city, New Mexico",Rio Rancho,New Mexico,104039,104361,105944,108082,-106.6329806,35.2702448
291,292,"Sandy Springs city, Georgia",Sandy Springs,Georgia,108068,108163,107344,107763,-84.3785379,33.9242688
292,293,"Dearborn city, Michigan",Dearborn,Michigan,109961,109662,108736,107710,-83.1763145,42.3222599
293,294,"Jurupa Valley city, California",Jurupa Valley,California,105054,105313,106982,107609,-117.4515754,33.9798472
294,295,"Spokane Valley city, Washington",Spokane Valley,Washington,102983,103525,105796,107325,-117.2613936,47.6571104
295,296,"Hillsboro city, Oregon",Hillsboro,Oregon,106438,106981,106916,107299,-122.989827,45.5228939
296,297,"Davie town, Florida",Davie,Florida,105703,106024,105872,106513,-80.2331038,26.0628665
297,298,"Green Bay city, Wisconsin",Green Bay,Wisconsin,107363,107254,106346,106095,-88.0125794,44.5126379
298,299,"Centennial city, Colorado",Centennial,Colorado,108422,108185,107332,105865,-104.8769227,39.579155
299,300,"Buckeye city, Arizona",Buckeye,Arizona,91535,93754,101720,105567,-112.583776,33.3703197
300,301,"Boulder city, Colorado",Boulder,Colorado,108246,108112,104001,105485,-105.270545,40.0149856
301,302,"Goodyear city, Arizona",Goodyear,Arizona,95288,96912,101524,105406,-112.3934809,33.4073522
302,303,"El Monte city, California",El Monte,California,109447,109111,106918,105312,-118.036849,34.0751571
303,304,"West Covina city, California",West Covina,California,109501,109129,106868,105013,-117.9389526,34.0686208
304,305,"Brockton city, Massachusetts",Brockton,Massachusetts,105654,105502,105501,104826,-71.0183787,42.0834335
305,306,"New Braunfels city, Texas",New Braunfels,Texas,90391,91621,99032,104707,-98.1257348,29.7028266
306,307,"El Cajon city, California",El Cajon,California,106183,106126,105474,104414,-116.962526,32.7947731
307,308,"Edinburg city, Texas",Edinburg,Texas,100269,100707,103068,104294,-98.1624501,26.3013982
308,309,"Renton city, Washington",Renton,Washington,106836,106708,105422,104047,-122.2034496,47.4799078
309,310,"Burbank city, California",Burbank,California,107335,107143,105291,103920,-118.307201,34.1812089
310,311,"Inglewood city, California",Inglewood,California,107759,107384,105097,103621,-118.353132,33.9562003
311,312,"Rialto city, California",Rialto,California,104048,104125,104305,103545,-117.3703235,34.1064001
312,313,"Lee's Summit city, Missouri",Lee's Summit,Missouri,101122,101617,102853,103465,-94.3821295,38.9107156
313,314,"Bend city, Oregon",Bend,Oregon,99213,99669,102428,103254,-121.3153096,44.0581728
314,315,"South Bend city, Indiana",South Bend,Indiana,103436,103333,103161,103110,-86.2500066,41.6833813
315,316,"Wichita Falls city, Texas",Wichita Falls,Texas,102316,102513,102786,102664,-98.5020777,33.9004572
316,317,"St. George city, Utah",St. George,Utah,95345,96032,100180,102519,-113.5841313,37.104153
317,318,"Fishers city, Indiana",Fishers,Indiana,99027,99456,101339,101966,-86.0138729,39.9555928
318,319,"Carmel city, Indiana",Carmel,Indiana,99753,99898,100959,101964,-86.1189257,39.9788017
319,320,"Vacaville city, California",Vacaville,California,102386,101806,101447,101918,-121.9877444,38.3565773
320,321,"Quincy city, Massachusetts",Quincy,Massachusetts,101606,101462,101142,101727,-71.0037374,42.2509914
321,322,"Conroe city, Texas",Conroe,Texas,89990,91247,95438,101405,-95.4560512,30.3118769
322,323,"Chico city, California",Chico,California,102816,102135,100162,101299,-121.8374777,39.7284945
323,324,"San Mateo city, California",San Mateo,California,105665,105327,102400,100984,-122.3253265,37.5629997
324,325,"Lynn city, Massachusetts",Lynn,Massachusetts,101263,101095,100992,100891,-70.9494939,42.466763
325,326,"Albany city, New York",Albany,New York,99233,98664,100735,100826,-73.754968,42.6511674
326,327,"Hesperia city, California",Hesperia,California,99838,100090,100847,100744,-117.3008784,34.4263886
327,328,"New Bedford city, Massachusetts",New Bedford,Massachusetts,101089,100987,101007,100682,-70.934205,41.6362152
328,329,"Davenport city, Iowa",Davenport,Iowa,101728,101646,101072,100486,-90.5770967,41.5235808
329,330,"Daly City city, California",Daly City,California,104973,104633,101482,100007,-122.47267,37.6904826
330,331,"Fayetteville city, Arkansas",Fayetteville,Arkansas,94308,94769,97328,99285,-94.1574328,36.0625843
331,332,"San Angelo city, Texas",San Angelo,Texas,99904,100060,99423,99112,-100.4405094,31.4649685
332,333,"Boca Raton city, Florida",Boca Raton,Florida,97439,98242,98796,99009,-80.0830984,26.3586885
333,334,"Longmont city, Colorado",Longmont,Colorado,98906,99181,99721,98687,-105.1019287,40.1672117
334,335,"Norwalk city, California",Norwalk,California,102762,102410,100313,98537,-118.0849169,33.9092802
335,335,"Suffolk city, Virginia",Suffolk,Virginia,94326,94697,96328,98537,-76.5835703,36.7282096
336,337,"Yuma city, Arizona",Yuma,Arizona,96147,96398,97154,98527,-114.47603157249804,32.665135
337,338,"Kenosha city, Wisconsin",Kenosha,Wisconsin,99979,99895,99270,98484,-87.8212263,42.5846773
338,339,"Palm Coast city, Florida",Palm Coast,Florida,89251,89735,93748,98411,-81.2207673,29.5541432
339,340,"Federal Way city, Washington",Federal Way,Washington,101025,100981,99283,97863,-122.33931,47.313494
340,341,"Roanoke city, Virginia",Roanoke,Virginia,100015,99883,98744,97847,-79.9414313,37.270973
341,342,"Vista city, California",Vista,California,98414,98390,98563,97766,-117.2425355,33.2000368
342,343,"Tracy city, California",Tracy,California,93115,93413,95252,97328,-121.4201395,37.7385507
343,344,"Deltona city, Florida",Deltona,Florida,93702,94038,95386,97267,-81.2636738,28.9005446
344,345,"Beaverton city, Oregon",Beaverton,Oregon,97503,97495,98466,97053,-122.80378,45.4871723
345,346,"Portsmouth city, Virginia",Portsmouth,Virginia,97915,97954,97638,97029,-76.297699,36.8320081
346,347,"Yakima city, Washington",Yakima,Washington,96971,97055,96918,97012,-120.510842,46.601557
347,348,"Sunrise city, Florida",Sunrise,Florida,97309,97103,96222,96306,-80.2787573,26.1666888
348,349,"Edmond city, Oklahoma",Edmond,Oklahoma,94436,94750,95356,96286,-97.4649038,35.6571367
349,350,"Plantation city, Florida",Plantation,Florida,91750,92050,93188,96042,-82.3728728,27.0681121
350,351,"Fort Myers city, Florida",Fort Myers,Florida,86401,87271,93290,95949,-81.8723084,26.640628
351,352,"Orem city, Utah",Orem,Utah,98133,98424,98150,95910,-111.6944313,40.2981599
352,353,"Lawrence city, Kansas",Lawrence,Kansas,94930,94923,95372,95794,-95.2359496,38.9719384
353,354,"Reading city, Pennsylvania",Reading,Pennsylvania,95100,94972,94940,94858,-75.9279495,40.335345
354,355,"San Marcos city, California",San Marcos,California,94862,94900,93756,94854,-117.1661449,33.1433723
355,356,"Mount Pleasant town, South Carolina",Mount Pleasant,South Carolina,90838,91092,92844,94545,-79.8625851,32.7940651
356,357,"Bellingham city, Washington",Bellingham,Washington,91483,91871,90133,93896,-122.478836,48.7544012
357,358,"Livonia city, Michigan",Livonia,Michigan,95526,95270,94612,93779,-83.3527097,42.36837
358,359,"Asheville city, North Carolina",Asheville,North Carolina,94581,94390,94142,93776,-82.5528478,35.595076
359,360,"Fall River city, Massachusetts",Fall River,Massachusetts,93984,93933,93952,93682,-71.1546367,41.7010642
360,361,"O'Fallon city, Missouri",O'Fallon,Missouri,91347,91631,93729,93663,-90.7033292,38.7902503
361,362,"Erie city, Pennsylvania",Erie,Pennsylvania,94849,94704,94160,93511,-80.0852695,42.1294712
362,363,"Chino city, California",Chino,California,91387,91131,91716,93140,-117.690075,34.0133561
363,364,"Sandy city, Utah",Sandy,Utah,97253,96921,95076,93022,-111.8953815,40.5710454
364,365,"Roswell city, Georgia",Roswell,Georgia,92835,92939,92627,92950,-84.360022,34.02332
365,366,"Redding city, California",Redding,California,93609,93479,93422,92906,-122.391675,40.5863563
366,367,"Hoover city, Alabama",Hoover,Alabama,92605,92714,92627,92435,-86.78247922885197,33.3864655
367,368,"Carson city, California",Carson,California,95553,95286,93285,92388,-118.2517547,33.8322043
368,369,"Kirkland city, Washington",Kirkland,Washington,92166,92734,92129,92151,-122.2070775,47.6765382
369,370,"Compton city, California",Compton,California,95712,95411,93456,91988,-118.226624,33.894927
370,371,"Indio city, California",Indio,California,89126,89274,90528,91980,-116.2188054,33.7192808
371,372,"Mission Viejo city, California",Mission Viejo,California,93639,93464,92436,91776,-117.659405,33.5965685
372,373,"Avondale city, Arizona",Avondale,Arizona,89345,89564,90502,91617,-112.349602,33.4355977
373,374,"Merced city, California",Merced,California,86370,86648,89515,91563,-120.4843269,37.3029568
374,375,"Lawton city, Oklahoma",Lawton,Oklahoma,90387,90365,91242,91542,-98.3903305,34.6086854
375,376,"Norwalk city, Connecticut",Norwalk,Connecticut,91187,90928,91475,91401,-73.4078968,41.1175966
376,377,"Nashua city, New Hampshire",Nashua,New Hampshire,91335,91193,91297,91161,-71.4677032,42.7656251
377,378,"South Gate city, California",South Gate,California,92727,92434,91012,90926,-118.200981,33.9463456
378,379,"Hemet city, California",Hemet,California,89818,89844,90480,90689,-116.9719684,33.7475203
379,380,"Fort Smith city, Arkansas",Fort Smith,Arkansas,89141,89147,89557,89992,-94.3996456,35.3784666
380,381,"Santa Monica city, California",Santa Monica,California,93075,92803,91250,89947,-118.491227,34.0194704
381,382,"Trenton city, New Jersey",Trenton,New Jersey,90860,90578,90026,89661,-74.7597219,40.2205944
382,383,"Temple city, Texas",Temple,Texas,82072,82645,85587,89458,-97.3427847,31.098207
383,384,"Westminster city, California",Westminster,California,90915,90786,90124,89397,-117.9859054,33.7578725
384,385,"Champaign city, Illinois",Champaign,Illinois,88293,88358,89338,89241,-88.2430932,40.1164841
385,386,"Greenville city, North Carolina",Greenville,North Carolina,87628,87626,88399,89233,-77.3724593,35.613224
386,387,"Santa Fe city, New Mexico",Santa Fe,New Mexico,87503,87724,88302,89008,-105.938456,35.6876096
387,388,"Clifton city, New Jersey",Clifton,New Jersey,90309,90054,89516,88709,-74.1637553,40.8584328
388,389,"Waukegan city, Illinois",Waukegan,Illinois,89313,89115,88679,87976,-87.8447938,42.3636331
389,390,"Lawrence city, Massachusetts",Lawrence,Massachusetts,89153,88876,88436,87954,-71.1631137,42.7070354
390,391,"Bloomington city, Minnesota",Bloomington,Minnesota,89980,89844,89437,87797,-93.3204872,44.8322405
391,392,"Bryan city, Texas",Bryan,Texas,83967,84325,85256,87792,-96.3699632,30.6743643
392,393,"Springdale city, Arkansas",Springdale,Arkansas,87315,87312,87658,87672,-94.1288142,36.1867442
393,394,"Santa Barbara city, California",Santa Barbara,California,88676,88676,88316,87533,-119.702667,34.4221319
394,395,"Newton city, Massachusetts",Newton,Massachusetts,88918,88759,87799,87381,-71.2092214,42.3370414
395,396,"Troy city, Michigan",Troy,Michigan,87300,87076,87592,87201,-83.1499304,42.6055893
396,397,"Danbury city, Connecticut",Danbury,Connecticut,86510,86254,87105,86967,-73.4540111,41.394817
397,398,"Manteca city, California",Manteca,California,83507,83834,85716,86928,-121.22178815385232,37.81623435
398,399,"Franklin city, Tennessee",Franklin,Tennessee,83547,84124,85804,86895,-86.8689419,35.925206
399,400,"Ogden city, Utah",Ogden,Utah,87343,87292,86639,86825,-111.9738429,41.2230048
400,401,"Deerfield Beach city, Florida",Deerfield Beach,Florida,86855,86763,86512,86772,-80.0996306,26.318342
401,402,"San Leandro city, California",San Leandro,California,90998,90707,88440,86762,-122.1560768,37.7249296
402,403,"Mission city, Texas",Mission,Texas,85787,85848,86177,86635,-98.3252932,26.2159066
403,404,"Duluth city, Minnesota",Duluth,Minnesota,86720,86718,86584,86619,-92.1251218,46.7729322
404,405,"Georgetown city, Texas",Georgetown,Texas,67012,68293,75620,86507,-97.6772311,30.6326942
405,406,"Melbourne city, Florida",Melbourne,Florida,84703,85047,86008,86441,-80.6371513,28.106471
406,407,"Citrus Heights city, California",Citrus Heights,California,87575,87521,87111,86433,-121.2810611,38.7071247
407,408,"San Ramon city, California",San Ramon,California,86332,86616,87023,85953,-121.9544387,37.7648021
408,409,"Lake Forest city, California",Lake Forest,California,85862,85848,85631,85638,-117.6859213,33.6469261
409,410,"Medford city, Oregon",Medford,Oregon,85858,85975,86634,85556,-122.8718605,42.3264181
410,411,"Sioux City city, Iowa",Sioux City,Iowa,85781,85762,85833,85497,-96.4058782,42.4966815
411,412,"North Port city, Florida",North Port,Florida,74798,75487,79795,85099,-82.2359254,27.044224
412,413,"Auburn city, Washington",Auburn,Washington,87204,87059,85853,84858,-122.2301808,47.3075369
413,414,"Kennewick city, Washington",Kennewick,Washington,83929,83981,84698,84750,-119.119919,46.2087066
414,415,"Livermore city, California",Livermore,California,87965,87880,86388,84701,-121.768053,37.6820583
415,416,"Hawthorne city, California",Hawthorne,California,88077,87804,86010,84563,-118.3483256,33.9188589
416,417,"Whittier city, California",Whittier,California,87302,87006,85330,84496,-118.030839,33.9708782
417,418,"Lehi city, Utah",Lehi,Utah,75900,76837,79917,84373,-111.8486019,40.3881114
418,419,"Baytown city, Texas",Baytown,Texas,85541,85366,84312,84324,-94.9774274,29.7355047
419,420,"Westland city, Michigan",Westland,Michigan,85407,85196,84678,84037,-83.4005321,42.3238056
420,421,"Newport Beach city, California",Newport Beach,California,85235,85208,84713,83993,-117.9294401,33.6170092
421,422,"South Jordan city, Utah",South Jordan,Utah,77486,77950,80102,83513,-111.9367107,40.5584882
422,423,"Brooklyn Park city, Minnesota",Brooklyn Park,Minnesota,86462,86206,84467,83324,-93.3443585,45.1004807
423,424,"Folsom city, California",Folsom,California,80463,80749,81687,83269,-121.1760583,38.6779591
424,425,"Warwick city, Rhode Island",Warwick,Rhode Island,82825,82845,83028,83016,-71.4161108,41.7002024
425,426,"Farmington Hills city, Michigan",Farmington Hills,Michigan,84004,83774,83368,82737,-83.3771553,42.4853125
426,427,"Gastonia city, North Carolina",Gastonia,North Carolina,80412,80524,81359,82653,-81.1838186,35.2622654
427,428,"Layton city, Utah",Layton,Utah,81780,82046,83417,82601,-111.9741925,41.0751048
428,429,"Longview city, Texas",Longview,Texas,81640,81641,81553,82531,-94.74049,32.5007031
429,430,"Largo city, Florida",Largo,Florida,82544,82484,82437,82487,-82.7873244,27.9094665
430,431,"Johns Creek city, Georgia",Johns Creek,Georgia,82444,82575,82183,82453,-84.190196,34.0181557
431,432,"Buena Park city, California",Buena Park,California,84016,83862,82951,82450,-117.9962165,33.870413
432,433,"Cranston city, Rhode Island",Cranston,Rhode Island,82936,82824,82598,82421,-71.4371257,41.7809588
433,434,"New Rochelle city, New York",New Rochelle,New York,79734,80192,81389,82288,-73.7826363,40.9115386
434,435,"Warner Robins city, Georgia",Warner Robins,Georgia,80350,80567,81566,82175,-83.606568,32.6200973
435,435,"Frederick city, Maryland",Frederick,Maryland,78188,78352,79889,82175,-77.4127562,39.415779
436,437,"Cicero town, Illinois",Cicero,Illinois,85268,84928,83313,81919,-87.7540199,41.8455398
437,438,"Homestead city, Florida",Homestead,Florida,80734,80510,80707,81562,-80.4759905,25.4718946
438,439,"Mountain View city, California",Mountain View,California,82534,82430,81675,81059,-122.0832101,37.3893889
439,440,"Boynton Beach city, Florida",Boynton Beach,Florida,80385,80652,80244,80859,-80.0666026,26.5256179
440,441,"Rancho Cordova city, California",Rancho Cordova,California,79332,79503,80210,80598,-121.302728,38.5890723
441,442,"Redwood City city, California",Redwood City,California,84303,84131,81522,80512,-122.232523,37.4863239
442,443,"Perris city, California",Perris,California,78705,78861,79825,80263,-117.2286478,33.7825194
443,444,"Alhambra city, California",Alhambra,California,82868,82657,81168,80259,-118.12706,34.093042
444,445,"Castle Rock town, Colorado",Castle Rock,Colorado,73156,73881,76652,80191,-104.8586826,39.3722552
445,446,"Pharr city, Texas",Pharr,Texas,79713,79821,79675,80179,-98.1836216,26.1947962
446,447,"Miami Beach city, Florida",Miami Beach,Florida,82888,82458,80882,80017,-80.1353006,25.7929198
447,448,"Auburn city, Alabama",Auburn,Alabama,76143,76624,78887,80006,-85.4807825,32.6098566
448,449,"Kissimmee city, Florida",Kissimmee,Florida,79224,79202,79579,80003,-81.4075838,28.2918995
449,450,"Jonesboro city, Arkansas",Jonesboro,Arkansas,78575,78852,78862,79876,-90.6949871,35.8272257
450,451,"Flint city, Michigan",Flint,Michigan,81268,81108,80586,79854,-83.6900211,43.0161693
451,452,"Somerville city, Massachusetts",Somerville,Massachusetts,81031,80814,80018,79762,-71.0994968,42.3875968
452,453,"Parma city, Ohio",Parma,Ohio,81117,80949,80154,79358,-81.7355692,41.3822398
453,454,"Pasco city, Washington",Pasco,Washington,77119,77452,78541,79315,-119.0921,46.2306739
454,455,"Lynchburg city, Virginia",Lynchburg,Virginia,79007,78973,79118,79287,-79.1422464,37.4137536
455,456,"Lake Charles city, Louisiana",Lake Charles,Louisiana,84936,84873,80521,79113,-93.2061609,30.2072293
456,457,"Bloomington city, Indiana",Bloomington,Indiana,79148,79062,79342,79107,-86.5342881,39.1670396
457,458,"Lakewood city, California",Lakewood,California,82497,82213,80473,79063,-118.117191,33.8503463
458,459,"Bloomington city, Illinois",Bloomington,Illinois,78699,78682,78848,78864,-88.9939147,40.4797828
459,460,"Upland city, California",Upland,California,79041,79120,79265,78841,-117.6483876,34.09751
460,461,"Rapid City city, South Dakota",Rapid City,South Dakota,74719,74924,76723,78824,-103.2280239,44.0806041
461,462,"Plymouth city, Minnesota",Plymouth,Minnesota,81017,80945,79820,78683,-93.46651,45.0065149
462,463,"Woodbury city, Minnesota",Woodbury,Minnesota,75107,75472,77094,78561,-92.9339449,44.919896
463,464,"Flower Mound town, Texas",Flower Mound,Texas,75965,76472,77532,78486,-97.0867203,33.0283854
464,465,"Tustin city, California",Tustin,California,79967,79896,79346,78418,-117.826166,33.7458511
465,466,"Napa city, California",Napa,California,79251,79039,78855,78315,-122.2855293,38.2971367
466,467,"Daytona Beach city, Florida",Daytona Beach,Florida,71587,72274,75323,77958,-81.0228331,29.2108147
467,468,"Chino Hills city, California",Chino Hills,California,78426,78468,78579,77949,-117.760056,33.9926803
468,469,"Loveland city, Colorado",Loveland,Colorado,76365,76362,77002,77884,-105.04436132094955,40.385549
469,470,"Milpitas city, California",Milpitas,California,80271,80127,78218,77738,-121.8989248,37.4332273
470,471,"Cedar Park city, Texas",Cedar Park,Texas,77586,78012,78863,77642,-97.827833,30.5217116
471,472,"Bethlehem city, Pennsylvania",Bethlehem,Pennsylvania,75795,75697,77910,77617,-75.3786521,40.6178915
472,473,"Pittsburg city, California",Pittsburg,California,76409,76605,76662,77572,-121.8901232,38.0181745
473,474,"Doral city, Florida",Doral,Florida,75875,76207,76167,76983,-80.3553302,25.8195424
474,475,"Missoula city, Montana",Missoula,Montana,74131,74394,75373,76955,-113.995267,46.8701049
475,476,"Redmond city, Washington",Redmond,Washington,73252,73348,76463,76732,-122.1238767,47.6694141
476,477,"Wyoming city, Michigan",Wyoming,Michigan,76510,76755,76853,76726,-85.7057035,42.9132581
477,478,"Mansfield city, Texas",Mansfield,Texas,72596,72757,74429,76724,-97.1420308,32.563487
478,479,"Pleasanton city, California",Pleasanton,California,79856,79676,77904,76689,-121.8746789,37.6624312
479,480,"Hammond city, Indiana",Hammond,Indiana,77855,77759,77204,76575,-87.500043,41.5833658
480,481,"Missouri City city, Texas",Missouri City,Texas,74248,74425,75047,76500,-95.5377215,29.6185669
481,482,"Racine city, Wisconsin",Racine,Wisconsin,77841,77685,77079,76462,-87.7825242,42.7260523
482,483,"Bellflower city, California",Bellflower,California,79216,78975,77411,76405,-118.1167679,33.8825705
483,484,"Schaumburg village, Illinois",Schaumburg,Illinois,78713,78443,77165,76225,-88.083406,42.0333608
484,485,"Broomfield city, Colorado",Broomfield,Colorado,74105,74484,75375,76121,-105.05208,39.9403995
485,486,"Alameda city, California",Alameda,California,78282,78044,76246,76040,-122.2416355,37.7652076
486,487,"Rochester Hills city, Michigan",Rochester Hills,Michigan,76308,76119,76063,75936,-83.1499322,42.6583661
487,488,"Flagstaff city, Arizona",Flagstaff,Arizona,76847,77090,74729,75907,-111.651822,35.1987522
488,489,"Apple Valley town, California",Apple Valley,California,75789,75874,76158,75867,-117.1858759,34.5008311
489,490,"Scranton city, Pennsylvania",Scranton,Pennsylvania,76336,76172,76141,75848,-75.6621294,41.4086874
490,491,"Evanston city, Illinois",Evanston,Illinois,78104,77857,76686,75544,-87.6930459,42.0447388
491,492,"Southfield city, Michigan",Southfield,Michigan,76604,76381,75914,75431,-83.2218731,42.4733689
492,493,"Rock Hill city, South Carolina",Rock Hill,South Carolina,74409,74690,74743,75349,-81.0250784,34.9248667
493,494,"Iowa City city, Iowa",Iowa City,Iowa,74823,74908,75172,75233,-91.5299106,41.6612561
494,495,"Arlington Heights village, Illinois",Arlington Heights,Illinois,77687,77447,76153,75195,-87.9802164,42.0811563
495,496,"Pawtucket city, Rhode Island",Pawtucket,Rhode Island,75612,75480,75277,75066,-71.3825558,41.878711
496,497,"Bowling Green city, Kentucky",Bowling Green,Kentucky,72298,72456,73149,74926,-86.4436018,36.9903199
497,498,"Lakeville city, Minnesota",Lakeville,Minnesota,69496,70023,72751,74553,-93.2432791,44.650051
498,499,"Appleton city, Wisconsin",Appleton,Wisconsin,75681,75707,74856,74511,-88.4069744,44.2613967
499,500,"Bismarck city, North Dakota",Bismarck,North Dakota,73625,73737,74083,74445,-100.783739,46.808327
500,501,"New Britain city, Connecticut",New Britain,Connecticut,74159,73974,74581,74396,-72.7795419,41.6612104
501,502,"Leander city, Texas",Leander,Texas,59217,60848,67093,74375,-97.8553655,30.5603086
502,503,"Bolingbrook village, Illinois",Bolingbrook,Illinois,73948,73818,73668,74031,-88.0717708,41.7003302
503,504,"Rocklin city, California",Rocklin,California,71598,71861,73082,73857,-121.2357828,38.7907339
504,505,"Redlands city, California",Redlands,California,73170,73257,73538,73849,-117.1827445,34.0550328
505,506,"Lauderhill city, Florida",Lauderhill,Florida,74479,74312,73605,73633,-87.5254649,33.2365468
506,507,"Rogers city, Arkansas",Rogers,Arkansas,69913,70342,71436,72999,-94.1185366,36.3320197
507,508,"Kalamazoo city, Michigan",Kalamazoo,Michigan,73570,73502,72343,72873,-85.5872286,42.291707
508,509,"Noblesville city, Indiana",Noblesville,Indiana,69609,69909,71155,72748,-86.0085955,40.0455918
509,510,"Johnson City city, Tennessee",Johnson City,Tennessee,71063,71118,71188,72514,-82.3534728,36.3134398
510,511,"Greenville city, South Carolina",Greenville,South Carolina,70720,71031,72286,72310,-82.3984882,34.851354
511,512,"Turlock city, California",Turlock,California,72692,72694,72216,72309,-120.8465941,37.4946568
512,513,"Marysville city, Washington",Marysville,Washington,70714,70972,71363,72275,-122.1768209,48.0517429
513,514,"Gulfport city, Mississippi",Gulfport,Mississippi,72923,72872,72220,72236,-89.0928155,30.3674198
514,515,"Ankeny city, Iowa",Ankeny,Iowa,67901,68363,70452,72222,-93.605092,41.7320796
515,516,"Dublin city, California",Dublin,California,72588,72524,71516,72060,-121.9357918,37.7021521
516,517,"Tamarac city, Florida",Tamarac,Florida,71903,71906,71706,71912,-80.2497707,26.2128609
517,518,"Lake Elsinore city, California",Lake Elsinore,California,70244,70333,71505,71898,-117.3272615,33.6680772
518,519,"Blaine city, Minnesota",Blaine,Minnesota,70221,70466,71008,71739,-93.2349489,45.1607987
519,520,"Mount Vernon city, New York",Mount Vernon,New York,73905,73552,72801,71714,-73.8386504,40.9125085
520,521,"Harlingen city, Texas",Harlingen,Texas,71824,71874,72095,71678,-97.6960599,26.1907543
521,522,"Wilmington city, Delaware",Wilmington,Delaware,70893,70847,70823,71569,-75.546589,39.7459468
522,523,"Lafayette city, Indiana",Lafayette,Indiana,70790,70738,70902,71402,-86.8752869,40.4167022
523,524,"Dothan city, Alabama",Dothan,Alabama,71050,71081,71033,71235,-85.3933906,31.2237434
524,525,"St. Charles city, Missouri",St. Charles,Missouri,70539,70738,71048,71184,-90.481677,38.783855
525,526,"Apex town, North Carolina",Apex,North Carolina,64180,65355,68368,71065,-78.8505516,35.7325352
526,527,"Eastvale city, California",Eastvale,California,69752,69966,71341,71024,-117.566541,33.9747067
527,528,"Camden city, New Jersey",Camden,New Jersey,71777,71741,71558,70996,-75.1198911,39.9448402
528,529,"Framingham city, Massachusetts",Framingham,Massachusetts,72381,72136,71289,70963,-71.4165905,42.2773177
529,530,"West Des Moines city, Iowa",West Des Moines,Iowa,68726,68912,69886,70741,-93.7594059,41.5644476
530,531,"Queen Creek town, Arizona",Queen Creek,Arizona,59516,60895,66318,70734,-111.634158,33.2483858
531,532,"Tulare city, California",Tulare,California,68910,69255,70788,70693,-119.3473421,36.2077351
532,533,"North Richland Hills city, Texas",North Richland Hills,Texas,69911,70286,70259,70663,-97.2289029,32.8342952
533,534,"St. Joseph city, Missouri",St. Joseph,Missouri,72481,72141,71411,70656,-94.8466322,39.7686055
534,535,"Maple Grove city, Minnesota",Maple Grove,Minnesota,70264,70289,70606,70582,-93.4419222,45.0984983
535,536,"Waukesha city, Wisconsin",Waukesha,Wisconsin,71162,71177,70723,70454,-88.2314813,43.0116784
536,537,"Jacksonville city, North Carolina",Jacksonville,North Carolina,72735,72642,70631,70420,-77.4208221,34.7494749
537,538,"San Marcos city, Texas",San Marcos,Texas,67690,68128,69215,70301,-97.9405828,29.8826436
538,539,"Camarillo city, California",Camarillo,California,70740,70830,70904,70282,-119.0383541,34.2176371
539,540,"Eau Claire city, Wisconsin",Eau Claire,Wisconsin,69433,69497,69106,69737,-91.4984941,44.811349
540,541,"Canton city, Ohio",Canton,Ohio,70836,70696,70227,69671,-81.3749508,40.7985464
541,542,"St. Cloud city, Minnesota",St. Cloud,Minnesota,68882,68866,69051,69568,-94.1642004,45.5616075
542,543,"Bayonne city, New Jersey",Bayonne,New Jersey,71687,71601,69446,69527,-74.1143091,40.6687141
543,544,"Baldwin Park city, California",Baldwin Park,California,72176,71971,70561,69455,-117.9611761,34.0854739
544,545,"Shawnee city, Kansas",Shawnee,Kansas,67310,67439,67667,69198,-94.7202376,39.0416718
